,index,head,from,to,size,dates,tweets,size2
0,That's all for #DraftKingsPregame Central. Tune in on @CSNNE for more coverage with @tvabby and the gang right now.pic.twitter.com/oAAz892NoQ,trailblazers,celtics,"[""That's all for #DraftKingsPregame Central. Tune in on @CSNNE for more coverage with @tvabby and the gang right now.pic.twitter.com/oAAz892NoQ"", 'Sup, @brookeolzendam?']",2,"['21 Jan 2017', '21 Jan 2017']","['Boston Celtics', 'Trail Blazers']",2
1,"We see you, @RedSox.https://twitter.com/russnelligan/status/858128124688703491 …",trailblazers,celtics,"['We see you, @RedSox.https://twitter.com/russnelligan/status/858128124688703491\xa0…', ""TBH we're pretty big @celtics fans... pic.twitter.com/seBIjb6eIa"", ""Sorry guys, we've already locked them up!pic.twitter.com/S4E7uYdO62"", 'right.pic.twitter.com/qIpU6b0f0Q']",4,"['28 Apr 2017', '28 Apr 2017', '28 Apr 2017', '28 Apr 2017']","['Trail Blazers', 'Red Sox', 'Boston Celtics', 'Trail Blazers']",4
2,Keep an eye on @celtics Twitter and Instagram pic.twitter.com/W9mx57lWvs,trailblazers,celtics,"['Keep an eye on @celtics Twitter and Instagram pic.twitter.com/W9mx57lWvs', ""what's happening?pic.twitter.com/NXYxZxvpX7"", "" you'll have to wait until 3 just like everyone elsepic.twitter.com/GwYRb0JnKI"", 'so... noon?pic.twitter.com/42rY6k1XsA']",4,"['18 Aug 2017', '18 Aug 2017', '18 Aug 2017', '18 Aug 2017']","['Boston Celtics', 'Trail Blazers', 'Boston Celtics', 'Trail Blazers']",4
3,"You call bank, Terry? pic.twitter.com/Z1UQJ37yYL",trailblazers,celtics,"['You call bank, Terry? pic.twitter.com/Z1UQJ37yYL', 'thx for not posting that Gerald Green dunk. Check is in the mail.', '.@trailblazers This one?pic.twitter.com/23GtyZ0fEX', 'thought we had a deal ']",4,"['9 Feb 2017', '9 Feb 2017', '9 Feb 2017', '9 Feb 2017']","['Boston Celtics', 'Trail Blazers', 'Boston Celtics', 'Trail Blazers']",4
4,"Both @moe_harkless and @PlanetPat5 like the new red 'Statement' jerseys, which the @trailblazers are wearing for the first time tonight, though @eddavisXVII doesn't want to wear red sockshttp://rip.city/2AJvCol ",trailblazers,celtics,"[""Both @moe_harkless and @PlanetPat5 like the new red 'Statement' jerseys, which the @trailblazers are wearing for the first time tonight, though @eddavisXVII doesn't want to wear red sockshttp://rip.city/2AJvCol\xa0"", 'Sorry, @RedSox.', 'That’s cool. We’re kind of into green when it comes to basketball. ', 'Green *is* the color of envy.pic.twitter.com/CYILvbdavo', 'Envious? pic.twitter.com/6OmltkzAWS', 'pic.twitter.com/pp8P0yfBL9', 'pic.twitter.com/I0sI68NiPA']",7,"['30 Nov 2017', '30 Nov 2017', '30 Nov 2017', '30 Nov 2017', '30 Nov 2017', '30 Nov 2017', '30 Nov 2017']","['Casey Holdahl', 'Trail Blazers', 'Red Sox', 'Trail Blazers', 'Red Sox', 'Boston Celtics', 'Trail Blazers']",7
5,It's good to see @thekidet back in TD Garden tonight! #Celticspic.twitter.com/J2qL4Ct6eU,trailblazers,celtics,"[""It's good to see @thekidet back in TD Garden tonight! #Celticspic.twitter.com/J2qL4Ct6eU"", 'pic.twitter.com/5ck9zZ3SGL']",2,"['21 Jan 2017', '21 Jan 2017']","['Boston Celtics', 'Trail Blazers']",2
6,Mark Wahlberg was courtside @tdgarden for last night's win.pic.twitter.com/0PynTF2X9y,trailblazers,celtics,"[""Mark Wahlberg was courtside @tdgarden for last night's win.pic.twitter.com/0PynTF2X9y"", '@celtics is that the guy from Ted 2?']",2,"['24 Mar 2016', '24 Mar 2016']","['Boston Celtics', 'Trail Blazers']",2
7,"Jaylen Brown says he learned quickly this week that no one can jump as high as he can, which gave him confidence in finishing at the rim.",trailblazers,celtics,"['Jaylen Brown says he learned quickly this week that no one can jump as high as he can, which gave him confidence in finishing at the rim.', 'https://vine.co/v/57xHUL6Q565\xa0']",2,"['15 Jul 2016', '15 Jul 2016']","['Boston Celtics', 'Trail Blazers']",2
8,"T
B
Tpic.twitter.com/ES64TgdFcX",trailblazers,celtics,"['T\nB\nTpic.twitter.com/ES64TgdFcX', 'Lary Bird does not have the body that you would expect from one of the greatest sports players in history of sports', 'times done changed.']",3,"['9 Feb 2017', '9 Feb 2017', '9 Feb 2017']","['Trail Blazers', 'Ian Charles Rose', 'Trail Blazers']",3
9,"We see you, @RedSox.https://twitter.com/russnelligan/status/858128124688703491 …",celtics,trailblazers,"['We see you, @RedSox.https://twitter.com/russnelligan/status/858128124688703491\xa0…', ""TBH we're pretty big @celtics fans... pic.twitter.com/seBIjb6eIa"", ""Sorry guys, we've already locked them up!pic.twitter.com/S4E7uYdO62""]",3,"['28 Apr 2017', '28 Apr 2017', '28 Apr 2017']","['Trail Blazers', 'Red Sox', 'Boston Celtics']",3
