,0,1,2,3,4,5,6,7
0,"Waiting on @NBA season like... 

#IsItOctoberYetpic.twitter.com/bKci9WTkZm",cavs,celtics,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg']",8,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['San Antonio Spurs', 'Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers']",8
1,#IsItOctoberYet?pic.twitter.com/FZd2RTfkWI,cavs,OrlandoMagic,"['#IsItOctoberYet?pic.twitter.com/FZd2RTfkWI', ""It's getting closer! pic.twitter.com/n9UsEqyvet""]",2,"['Sep 21 2017', 'Sep 21 2017']","['Orlando Magic', 'Cleveland Cavaliers']",2
2,"Waiting on @NBA season like... 

#IsItOctoberYetpic.twitter.com/bKci9WTkZm",cavs,DetroitPistons,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg']",8,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['San Antonio Spurs', 'Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers']",8
3,"Getting comfortable in Detroit’s brand new Little Caesars Arena!
#CavsPistons | #AllForOnepic.twitter.com/3p9WhDguiT",cavs,DetroitPistons,"['Getting comfortable in Detroit’s brand new Little Caesars Arena!\n#CavsPistons | #AllForOnepic.twitter.com/3p9WhDguiT', 'Nice space you’ve got here, @DetroitPistons pic.twitter.com/nsEotAuiHu']",2,"['Nov 20 2017', 'Nov 20 2017']","['Cleveland Cavaliers', 'Cleveland Cavaliers']",2
4,"Waiting on @NBA season like... 

#IsItOctoberYetpic.twitter.com/bKci9WTkZm",cavs,LAClippers,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg']",8,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['San Antonio Spurs', 'Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers']",8
5,If you're texting your vote to 69622 for Chris Paul it should look something like this.pic.twitter.com/We65rOL1k3,cavs,LAClippers,"[""If you're texting your vote to 69622 for Chris Paul it should look something like this.pic.twitter.com/We65rOL1k3"", '@LAClippers 3!', '@ATLHawks You mean 1, right?', ""@LAClippers @ATLHawks Suppose there's room for two Pauls in New York :)"", '@ATLHawks The 2015 Paul-Star Game?', '@LAClippers That has a nice ring to it! Just for that... Chris Paul #NBABallot', '@ATLHawks Right back at you! Paul Millsap #NBABallot', '.@LAClippers @ATLHawks paul-ease ']",8,"['11 Dec 2014', '11 Dec 2014', '11 Dec 2014', '11 Dec 2014', '11 Dec 2014', '11 Dec 2014', '11 Dec 2014', '11 Dec 2014']","['LA Clippers', 'Atlanta Hawks', 'LA Clippers', 'Atlanta Hawks', 'LA Clippers', 'Atlanta Hawks', 'LA Clippers', 'Cleveland Cavaliers']",8
6,"One matchup to keep an eye on tonight? @KyrieIrving vs. John Wall.

#CavsWizards 5 KEYS: http://on.nba.com/22L9QGs pic.twitter.com/Pe76vq7Wdi",cavs,WashWizards,"['One matchup to keep an eye on tonight? @KyrieIrving vs. John Wall.\n\n#CavsWizards 5 KEYS: http://on.nba.com/22L9QGs\xa0pic.twitter.com/Pe76vq7Wdi', '.@cavs \n@JohnWall #NBAVote\n#WizCavspic.twitter.com/6QA1Pj0YRZ', '.@WashWizards ¯\\_(?)_/¯\n\n@KyrieIrving #NBAVotepic.twitter.com/QMwkbFZokE']",3,"['6 Jan 2016', '6 Jan 2016', '6 Jan 2016']","['Cleveland Cavaliers', 'Washington Wizards', 'Cleveland Cavaliers']",3
7,"Waiting on @NBA season like... 

#IsItOctoberYetpic.twitter.com/bKci9WTkZm",cavs,WashWizards,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg']",8,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['San Antonio Spurs', 'Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers']",8
8,"Waiting on @NBA season like... 

#IsItOctoberYetpic.twitter.com/bKci9WTkZm",cavs,spurs,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg']",8,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['San Antonio Spurs', 'Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers']",8
9,Hey @Sixers @MNTimberwolves @OrlandoMagic @hornets @Bucks @denvernuggets @WashWizards Who's ready for another round of hashtag game?,cavs,Suns,"[""Hey @Sixers @MNTimberwolves @OrlandoMagic @hornets @Bucks @denvernuggets @WashWizards Who's ready for another round of hashtag game?"", '@Suns @Sixers @MNTimberwolves @OrlandoMagic @hornets @Bucks @denvernuggets @WashWizards count us in too, fellas.']",2,"['17 Sep 2014', '17 Sep 2014']","['Phoenix Suns', 'Cleveland Cavaliers']",2
