,0,1,2,3,4,5,6,7
0,Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O,LAClippers,cavs,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2', 'Nothing like starting off your morning with a bowl of Frosted Blakes! #NBACerealspic.twitter.com/2bHDr58cf8']",5,"['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017']","['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic', 'LA Clippers']",5
1,DO. NOT. GO. TO. BED #ThunderBasketball,LAClippers,okcthunder,"['DO. NOT. GO. TO. BED #ThunderBasketball', ""@okcthunder WE. DON'T. SLEEP.""]",2,"['21 Dec 2015', '21 Dec 2015']","['OKC THUNDER', 'LA Clippers']",2
2,"It's Friday, and there's a doubleheader tonight on @ESPNNBA.

Dance on.

8pm ET: @warriors-@celtics 
10:30: @LAClippers-@SacramentoKingspic.twitter.com/UP727eYSom",LAClippers,celtics,"[""It's Friday, and there's a doubleheader tonight on @ESPNNBA.\n\nDance on.\n\n8pm ET: @warriors-@celtics \n10:30: @LAClippers-@SacramentoKingspic.twitter.com/UP727eYSom"", 'pic.twitter.com/HtmqEspMWe', 'pic.twitter.com/bQ78BkiSJ9']",3,"['18 Nov 2016', '18 Nov 2016', '18 Nov 2016']","['ESPN', 'Sacramento Kings', 'LA Clippers']",3
3,"Today's #NBAonABC #NBAPlayoffs action! 

1pm/et: @WashWizards/@celtics Game 1

3:30pm/et: @utahjazz/@LAClippers GAME 7pic.twitter.com/Wa3P4WVaOg",LAClippers,celtics,"[""Today's #NBAonABC #NBAPlayoffs action! \n\n1pm/et: @WashWizards/@celtics Game 1\n\n3:30pm/et: @utahjazz/@LAClippers GAME 7pic.twitter.com/Wa3P4WVaOg"", '']",2,"['Apr 30 2017', 'Apr 30 2017']","['NBA', 'LA Clippers']",2
4,Season can't come soon enoughpic.twitter.com/45IPpEUOa5,LAClippers,BrooklynNets,"[""Season can't come soon enoughpic.twitter.com/45IPpEUOa5"", 'A G R E E D']",2,"['Sep 15 2017', 'Sep 15 2017']","['Brooklyn Nets', 'LA Clippers']",2
5,"You can already buy tickets now    

Here » http://bit.ly/2wTx7v1 https://twitter.com/laclippers/status/898221265399435264 …",LAClippers,BrooklynNets,"['You can already buy tickets now    \n\nHere » http://bit.ly/2wTx7v1\xa0https://twitter.com/laclippers/status/898221265399435264\xa0…', 'the best things in life are worth waiting for ']",2,"['Aug 17 2017', 'Aug 17 2017']","['Brooklyn Nets', 'LA Clippers']",2
6,When the Suns block back  #SolarEclipse17pic.twitter.com/gU32E0LmzW,LAClippers,BrooklynNets,"['When the Suns block back  #SolarEclipse17pic.twitter.com/gU32E0LmzW', 'pic.twitter.com/xwYatoGUAE']",2,"['Aug 21 2017', 'Aug 21 2017']","['Phoenix Suns', 'LA Clippers']",2
7,.@SeanKilpatrick all like...pic.twitter.com/raJBZMHtXl,LAClippers,BrooklynNets,"['.@SeanKilpatrick all like...pic.twitter.com/raJBZMHtXl', 'he looks tired now. Should prob rest him.']",2,"['29 Nov 2016', '29 Nov 2016']","['Brooklyn Nets', 'LA Clippers']",2
8,4 point play!  #Nets lead 100-98 with 15.3 to go!,LAClippers,BrooklynNets,"['4 point play!  #Nets lead 100-98 with 15.3 to go!', '@BrooklynNetspic.twitter.com/AI7cApk7rz']",2,"['2 Feb 2015', '2 Feb 2015']","['Brooklyn Nets', 'LA Clippers']",2
9,One more sleep. Who’s ready? #WeGoHardpic.twitter.com/B87LUWA0AK,LAClippers,BrooklynNets,"['One more sleep. Who’s ready? #WeGoHardpic.twitter.com/B87LUWA0AK', 'pic.twitter.com/p1cW97X2MB']",2,"['Oct 17 2017', 'Oct 17 2017']","['Brooklyn Nets', 'LA Clippers']",2
