,0
0,NYKnicks
1,OrlandoMagic
2,"["".@Bucks @dallasmavs @Timberwolves @NBAonTNT We'd prefer if you didn't. #GIFPartypic.twitter.com/E0fLbJqYia"", 'NYKnicks', 'DallasMavs', ["".@Bucks @dallasmavs @Timberwolves @NBAonTNT We'd prefer if you didn't. #GIFPartypic.twitter.com/E0fLbJqYia"", '.@Suns @Bucks @dallasmavs @Timberwolves @NBAonTNT Walking into the #GIFParty likepic.twitter.com/ZECHS17997', '.@DetroitPistons @Suns @Bucks @dallasmavs @NBAonTNT \n\nWhen everyone comes to the #GIFParty..pic.twitter.com/olH8Kyb8Fh', '@Timberwolves @DetroitPistons @Suns @Bucks @dallasmavs @NBAonTNT hey fam  #GIFpartypic.twitter.com/PYlBmJlfle', "".@warriors @Timberwolves @DetroitPistons @Bucks @dallasmavs @NBAonTNT Who's got the best dance moves at #GIFParty?pic.twitter.com/UKtibJe9Zd"", '.@Suns @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT The Greek Freak cuts a rug at the #GIFPartypic.twitter.com/ZSLiIWBdJH', '.@Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT We see Greek Freak and raise you @SunsDancerspic.twitter.com/YJJ4N0kLV9', "".@Suns @Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT We'll nominate our guy #GIFPartypic.twitter.com/eNWRamH71D"", '.@WashWizards @Suns @Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT Wassup errbody #GIFpartypic.twitter.com/yuqx5xt9uw', '.@Sixers @WashWizards @Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT WASSSSSUP!?!?! #GIFPartypic.twitter.com/ZHRJjSadlI', '.@Suns @Sixers @WashWizards @Bucks @warriors @Timberwolves @dallasmavs @NBAonTNT Just in time for the #GIFParty...pic.twitter.com/iDA9TVzv7a'], 11, ['3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016'], ['Phoenix Suns', 'Detroit Pistons', 'Timberwolves', 'Golden State Warriors', 'Phoenix Suns', 'Milwaukee Bucks', 'Phoenix Suns', 'Washington Wizards', 'Philadelphia 76ers', 'Phoenix Suns', 'NEW YORK KNICKS'], 11]"
3,NYKnicks
4,nuggets
5,"['respect, @nyknickspic.twitter.com/o1BITLz2Qw', 'NYKnicks', 'trailblazers', ['respect, @nyknickspic.twitter.com/o1BITLz2Qw', '@trailblazers '], 2, ['Nov 27 2017', 'Nov 27 2017'], ['Trail Blazers', 'NEW YORK KNICKS'], 2]"
6,"['Getting warm in frozen Brooklyn.  #ThunderUppic.twitter.com/ENtz1MooeZ – at Barclays Center', 'BrooklynNets', 'okcthunder', ['Getting warm in frozen Brooklyn.  #ThunderUppic.twitter.com/ENtz1MooeZ – at Barclays Center', 'see you soon '], 2, ['Mar 14 2017', 'Mar 14 2017'], ['OKC THUNDER', 'Brooklyn Nets'], 2]"
7,"['Hey @BrooklynNets pic.twitter.com/RPHXo8sFy4', 'BrooklynNets', 'OrlandoMagic', ['Hey @BrooklynNets pic.twitter.com/RPHXo8sFy4', '.@OrlandoMagicpic.twitter.com/juP1ABCkh9'], 2, ['14 Dec 2015', '14 Dec 2015'], ['Orlando Magic', 'Brooklyn Nets'], 2]"
8,"[""Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd"", 'BrooklynNets', 'OrlandoMagic', [""Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd"", ""@OrlandoMagic @DetroitPistons @Sixers @hornets @BrooklynNets @utahjazz we're conflicted here..."", '@MNTimberwolves The @utahjazz understand your struggle.', '@OrlandoMagic @MNTimberwolves @utahjazzpic.twitter.com/TLDgA0MQUB'], 4, ['13 Feb 2015', '13 Feb 2015', '13 Feb 2015', '13 Feb 2015'], ['Orlando Magic', 'Timberwolves', 'Orlando Magic', 'Brooklyn Nets'], 4]"
9,"['Hey, @BrooklynNets. You ready for this?pic.twitter.com/rJRbq3n6kO', 'BrooklynNets', 'Timberwolves', ['Hey, @BrooklynNets. You ready for this?pic.twitter.com/rJRbq3n6kO', "".@Timberwolves You bet we're ready!pic.twitter.com/KpSjF4abfr""], 2, ['5 Mar 2016', '5 Mar 2016'], ['Timberwolves', 'Brooklyn Nets'], 2]"
10,"['One more sleep. Who’s ready? #WeGoHardpic.twitter.com/B87LUWA0AK', 'BrooklynNets', 'LAClippers', ['One more sleep. Who’s ready? #WeGoHardpic.twitter.com/B87LUWA0AK', 'pic.twitter.com/p1cW97X2MB', 'So Ready. pic.twitter.com/cokRvTSZ87'], 3, ['Oct 17 2017', 'Oct 17 2017', 'Oct 17 2017'], ['Brooklyn Nets', 'LA Clippers', 'Brooklyn Nets'], 3]"
11,"[""Season can't come soon enoughpic.twitter.com/45IPpEUOa5"", 'BrooklynNets', 'LAClippers', [""Season can't come soon enoughpic.twitter.com/45IPpEUOa5"", 'A G R E E D', 'S O O N'], 3, ['Sep 15 2017', 'Sep 15 2017', 'Sep 15 2017'], ['Brooklyn Nets', 'LA Clippers', 'Brooklyn Nets'], 3]"
12,"['.@SeanKilpatrick all like...pic.twitter.com/raJBZMHtXl', 'BrooklynNets', 'LAClippers', ['.@SeanKilpatrick all like...pic.twitter.com/raJBZMHtXl', 'he looks tired now. Should prob rest him.', '20pts in the fourth? Nahh he good  #BrooklynGrit'], 3, ['29 Nov 2016', '29 Nov 2016', '29 Nov 2016'], ['Brooklyn Nets', 'LA Clippers', 'Brooklyn Nets'], 3]"
13,"['Dear @Lakers , I am requesting a trade to the @BrooklynNets . I am now a Nets fan', 'BrooklynNets', 'Lakers', ['Dear @Lakers , I am requesting a trade to the @BrooklynNets . I am now a Nets fan', 'Free agents are welcome. Check your DMs'], 2, ['Oct 12 2017', 'Oct 12 2017'], ['Festive Dlo\xa0?\xa0??', 'Brooklyn Nets'], 2]"
14,"[""Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd"", 'BrooklynNets', 'UtahJazz', [""Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd"", ""@OrlandoMagic @DetroitPistons @Sixers @hornets @BrooklynNets @utahjazz we're conflicted here..."", '@MNTimberwolves The @utahjazz understand your struggle.', '@OrlandoMagic @MNTimberwolves @utahjazzpic.twitter.com/TLDgA0MQUB'], 4, ['13 Feb 2015', '13 Feb 2015', '13 Feb 2015', '13 Feb 2015'], ['Orlando Magic', 'Timberwolves', 'Orlando Magic', 'Brooklyn Nets'], 4]"
15,"['Overtime. \n\n#Nuggets', 'BrooklynNets', 'nuggets', ['Overtime. \n\n#Nuggets', '.@nuggetspic.twitter.com/xFhtYfFa3k'], 2, ['4 Mar 2016', '4 Mar 2016'], ['Denver Nuggets', 'Brooklyn Nets'], 2]"
