,0
0,MiamiHEAT
1,PelicansNBA
2,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'MiamiHEAT', 'OrlandoMagic', ['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2', 'Nothing like starting off your morning with a bowl of Frosted Blakes! #NBACerealspic.twitter.com/2bHDr58cf8', 'We thought we’d add a little #TBT to our #NBACereals this morning!pic.twitter.com/WQx5PcVvMg', 'You guys have cereals, we have Fruit Hoops. #NBACerealspic.twitter.com/EjkWglCUzf', ""We're all about that Count Blockula this morning in Miami! #NBACerealspic.twitter.com/UL6KQBkCTz"", ""We haven't forgot about our rook this morning! #NBACerealspic.twitter.com/BdWi5tsGu4""], 9, ['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017'], ['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic', 'LA Clippers', 'Dallas Mavericks', 'Denver Nuggets', 'Miami HEAT', 'Miami HEAT'], 9]"
3,"['Rivals on the court. Family off the court. Stay safe @MiamiHEAT.\n\nOur thoughts are with all our friends in Florida and the southeast. ', 'MiamiHEAT', 'OrlandoMagic', ['Rivals on the court. Family off the court. Stay safe @MiamiHEAT.\n\nOur thoughts are with all our friends in Florida and the southeast. ', 'Thank you for keeping us in your thoughts! We wish you all the best up in Central Florida as well. Stay safe this weekend.'], 2, ['Sep 7 2017', 'Sep 7 2017'], ['Orlando Magic', 'Miami HEAT'], 2]"
4,"['Stay safe @MiamiHEAT. We are thinking of you and your fans! ', 'MiamiHEAT', 'OrlandoMagic', ['Stay safe @MiamiHEAT. We are thinking of you and your fans! ', 'stay safe up there too!'], 2, ['6 Oct 2016', '6 Oct 2016'], ['Orlando Magic', 'Miami HEAT'], 2]"
5,"[""Our thoughts and prayers are with the @MiamiHEAT's @ChrisBosh."", 'MiamiHEAT', 'OrlandoMagic', [""Our thoughts and prayers are with the @MiamiHEAT's @ChrisBosh."", ""@orlandomagic We'd like to thank your organization for sending your well wishes to Chris. We greatly appreciate it.""], 2, ['21 Feb 2015', '21 Feb 2015'], ['Orlando Magic', 'Miami HEAT'], 2]"
6,"['Thinking of our friends @MiamiHEAT & @OrlandoMagic during this time. Our thoughts are with all affected by Hurricane Irma. Stay safe.', 'MiamiHEAT', 'OrlandoMagic', ['Thinking of our friends @MiamiHEAT & @OrlandoMagic during this time. Our thoughts are with all affected by Hurricane Irma. Stay safe.', 'Thank you for keeping us and the state of Florida in your thoughts! We appreciate your support during this time.'], 2, ['Sep 7 2017', 'Sep 7 2017'], ['Indiana Pacers', 'Miami HEAT'], 2]"
7,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'MiamiHEAT', 'Hornets', ['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2', 'Nothing like starting off your morning with a bowl of Frosted Blakes! #NBACerealspic.twitter.com/2bHDr58cf8', 'We thought we’d add a little #TBT to our #NBACereals this morning!pic.twitter.com/WQx5PcVvMg', 'You guys have cereals, we have Fruit Hoops. #NBACerealspic.twitter.com/EjkWglCUzf', ""We're all about that Count Blockula this morning in Miami! #NBACerealspic.twitter.com/UL6KQBkCTz"", ""We haven't forgot about our rook this morning! #NBACerealspic.twitter.com/BdWi5tsGu4""], 9, ['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017'], ['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic', 'LA Clippers', 'Dallas Mavericks', 'Denver Nuggets', 'Miami HEAT', 'Miami HEAT'], 9]"
8,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'MiamiHEAT', 'LAClippers', ['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2', 'Nothing like starting off your morning with a bowl of Frosted Blakes! #NBACerealspic.twitter.com/2bHDr58cf8', 'We thought we’d add a little #TBT to our #NBACereals this morning!pic.twitter.com/WQx5PcVvMg', 'You guys have cereals, we have Fruit Hoops. #NBACerealspic.twitter.com/EjkWglCUzf', ""We're all about that Count Blockula this morning in Miami! #NBACerealspic.twitter.com/UL6KQBkCTz""], 8, ['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017'], ['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic', 'LA Clippers', 'Dallas Mavericks', 'Denver Nuggets', 'Miami HEAT'], 8]"
9,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'MiamiHEAT', 'nuggets', ['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2', 'Nothing like starting off your morning with a bowl of Frosted Blakes! #NBACerealspic.twitter.com/2bHDr58cf8', 'We thought we’d add a little #TBT to our #NBACereals this morning!pic.twitter.com/WQx5PcVvMg', 'You guys have cereals, we have Fruit Hoops. #NBACerealspic.twitter.com/EjkWglCUzf', ""We're all about that Count Blockula this morning in Miami! #NBACerealspic.twitter.com/UL6KQBkCTz""], 8, ['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017'], ['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic', 'LA Clippers', 'Dallas Mavericks', 'Denver Nuggets', 'Miami HEAT'], 8]"
10,"['First Basketball Game \n.\n@MiamiHEAT vs @WashWizards \n.\n#Basketball #NBA #MiamiHeatpic.twitter.com/nBD2A1omW7', 'MiamiHEAT', 'WashWizards', ['First Basketball Game \n.\n@MiamiHEAT vs @WashWizards \n.\n#Basketball #NBA #MiamiHeatpic.twitter.com/nBD2A1omW7', 'Welcome!'], 2, ['Nov 15 2017', 'Nov 15 2017'], ['Charlie Williams', 'Miami HEAT'], 2]"
11,"['#MIAvsPHX: HEAT are  from Downtown in the desert. 7-10 from beyond the arc.\n\nWayne 2\nJJ 2\nDragic 1\nWinslow 1\nOlynyk 1', 'MiamiHEAT', 'Suns', ['#MIAvsPHX: HEAT are  from Downtown in the desert. 7-10 from beyond the arc.\n\nWayne 2\nJJ 2\nDragic 1\nWinslow 1\nOlynyk 1', 'pic.twitter.com/NJIYXha5Up', 'pic.twitter.com/7qmXHxJLA6'], 3, ['Nov 8 2017', 'Nov 8 2017', 'Nov 8 2017'], ['Miami HEAT', 'Phoenix Suns', 'Miami HEAT'], 3]"
12,"['Thx to @FedEx we sent 100+ Miami shelter pets to shelters in Oakland! This will create space to accommodate pets displaced by #HurricaneIrmapic.twitter.com/nGT42y1A5J', 'MiamiHEAT', 'Warriors', ['Thx to @FedEx we sent 100+ Miami shelter pets to shelters in Oakland! This will create space to accommodate pets displaced by #HurricaneIrmapic.twitter.com/nGT42y1A5J', 'Sending some  HEAT  your way @warriors! '], 2, ['Sep 15 2017', 'Sep 15 2017'], ['Miami HEAT', 'Miami HEAT'], 2]"
